date,ML,Low_90,High_90,Low_50,High_50
2020-03-18,5.51,4.17,6.75,4.91,5.97
2020-03-19,5.34,4.5200000000000005,6.07,4.95,5.59
2020-03-20,4.44,3.83,4.97,4.15,4.62
2020-03-21,3.67,3.16,4.1,3.42,3.81
2020-03-22,3.08,2.64,3.47,2.89,3.23
2020-03-23,2.9,2.49,3.25,2.73,3.04
2020-03-24,3.2,2.82,3.5100000000000002,3.04,3.3200000000000003
2020-03-25,3.27,2.93,3.54,3.11,3.36
2020-03-26,3.1,2.8000000000000003,3.34,2.97,3.19
2020-03-27,2.67,2.41,2.9,2.52,2.73
2020-03-28,2.31,2.06,2.52,2.19,2.38
2020-03-29,1.8800000000000001,1.6500000000000001,2.09,1.78,1.96
2020-03-30,1.6300000000000001,1.4000000000000001,1.83,1.51,1.69
2020-03-31,1.52,1.3,1.72,1.3900000000000001,1.57
2020-04-01,1.56,1.34,1.75,1.45,1.62
2020-04-02,1.55,1.32,1.72,1.42,1.59
2020-04-03,1.52,1.3,1.69,1.42,1.58
2020-04-04,1.48,1.27,1.6500000000000001,1.37,1.53
2020-04-05,1.55,1.36,1.72,1.46,1.61
2020-04-06,1.53,1.34,1.69,1.42,1.57
2020-04-07,1.54,1.36,1.7,1.46,1.6
2020-04-08,1.55,1.37,1.7,1.45,1.59
2020-04-09,1.49,1.32,1.6400000000000001,1.42,1.55
2020-04-10,1.35,1.19,1.5,1.26,1.3900000000000001
2020-04-11,1.1400000000000001,0.98,1.29,1.06,1.19
2020-04-12,0.98,0.8200000000000001,1.1300000000000001,0.89,1.02
2020-04-13,0.92,0.74,1.06,0.84,0.97
2020-04-14,0.88,0.7000000000000001,1.02,0.8,0.93
2020-04-15,0.88,0.7000000000000001,1.02,0.81,0.9400000000000001
2020-04-16,0.92,0.74,1.06,0.81,0.9500000000000001
2020-04-17,0.98,0.8,1.12,0.87,1.01
2020-04-18,0.99,0.8200000000000001,1.1400000000000001,0.89,1.03
2020-04-19,0.9,0.73,1.05,0.8,0.9400000000000001
2020-04-20,0.81,0.62,0.9500000000000001,0.7000000000000001,0.84
2020-04-21,0.71,0.53,0.86,0.61,0.75
2020-04-22,0.5700000000000001,0.39,0.73,0.49,0.63
2020-04-23,0.42,0.21,0.5700000000000001,0.31,0.46
2020-04-24,0.31,0.1,0.47000000000000003,0.22,0.37
2020-04-25,0.39,0.19,0.5700000000000001,0.28,0.44
2020-04-26,0.56,0.36,0.75,0.47000000000000003,0.63
2020-04-27,0.6,0.38,0.78,0.47000000000000003,0.64
